X,Y,Sigma_x,Sigma_y,Tau_xy
0,-0.05,-48.9208883468697,-0.484191939042258,-0.224514295826419
0.0025,-0.05,-49.3053888786814,-0.295953780936658,0.0234357196694372
0.005,-0.05,-49.1671357632794,-0.228806804906074,0.121776621152949
0.0075,-0.05,-49.1359818347449,-0.219153806633427,0.139841776736116
0.01,-0.05,-49.1269422764363,-0.217253394867798,0.144317905806579
0.0125,-0.05,-49.124322621419,-0.217003197918852,0.145449771752444
0.015,-0.05,-49.1237904694665,-0.21712496612039,0.14569187024988
0.0175,-0.05,-49.1239858071443,-0.217300077070891,0.145717161584967
0.02,-0.05,-49.1244628394198,-0.21745305685619,0.145708587466394
0.0225,-0.05,-49.1250725029932,-0.217573346873852,0.145708361763476
0.025,-0.05,-49.1257626035109,-0.21766599925993,0.145720313531826
0.0275,-0.05,-49.1265116453688,-0.217738077301623,0.145739914082745
0.03,-0.05,-49.127307209567,-0.217795397978596,0.145762403276607
0.0325,-0.05,-49.1281392736432,-0.217842168199757,0.145784438531182
0.035,-0.05,-49.1289984297151,-0.217881301463982,0.145804021809699
0.0375,-0.05,-49.1298756051723,-0.217914793914462,0.145820109895705
0.04,-0.05,-49.1307621718213,-0.217944018402051,0.145832271264569
0.0425,-0.05,-49.1316501033333,-0.217969929008325,0.14584044720364
0.045,-0.05,-49.1325320940798,-0.217993197537471,0.145844798829907
0.0475,-0.05,-49.1334016288991,-0.218014303674802,0.145845612141021
0.05,-0.05,-49.1342530123442,-0.218033594826499,0.145843239419842
0.0525,-0.05,-49.1350813679747,-0.218051326321196,0.145838062770747
0.055,-0.05,-49.1358826162634,-0.218067688828336,0.145830471086158
0.0575,-0.05,-49.1366534374435,-0.218082827336181,0.145820845290897
0.06,-0.05,-49.1373912239432,-0.218096854460374,0.14580954884084
0.0625,-0.05,-49.1380940258854,-0.218109859869174,0.14579692167896
0.065,-0.05,-49.1387604923655,-0.218121916999673,0.145783276564918
0.0675,-0.05,-49.1393898106571,-0.218133087852722,0.145768897089672
0.07,-0.05,-49.1399816450693,-0.218143426408689,0.145754036920822
0.0725,-0.05,-49.1405360768292,-0.218152981042892,0.145738919957272
0.075,-0.05,-49.1410535460786,-0.21816179621509,0.145723741158741
0.0775,-0.05,-49.1415347968083,-0.218169913626121,0.145708667862426
0.08,-0.05,-49.1419808253208,-0.218177372983127,0.145693841448682
0.0825,-0.05,-49.1423928326363,-0.218184212492914,0.145679379235631
0.085,-0.05,-49.1427721810761,-0.218190469149858,0.145665376508164
0.0875,-0.05,-49.1431203551237,-0.218196178887,0.145651908607181
0.09,-0.05,-49.1434389265498,-0.218201376631187,0.145639033019121
0.0925,-0.05,-49.1437295236999,-0.218206096297566,0.145626791419848
0.095,-0.05,-49.1439938047724,-0.218210370749144,0.145615211635196
0.0975,-0.05,-49.1442334348583,-0.218214231729753,0.145604309497371
0.1,-0.05,-49.1444500664935,-0.218217709799635,0.145594090577074
0.1025,-0.05,-49.1446453234381,-0.218220834265251,0.145584551777979
0.105,-0.05,-49.1448207873924,-0.218223633122451,0.145575682794112
0.1075,-0.05,-49.144977987363,-0.218226133008404,0.145567467427919
0.11,-0.05,-49.1451183913869,-0.218228359166608,0.145559884762483
0.1125,-0.05,-49.145243400334,-0.218230335427175,0.145552910208728
0.115,-0.05,-49.1453543435341,-0.218232084198347,0.145546516418928
0.1175,-0.05,-49.1454524759761,-0.218233626472532,0.145540674083851
0.12,-0.05,-49.1455389768479,-0.218234981844983,0.145535352619841
0.1225,-0.05,-49.1456149492244,-0.218236168542389,0.145530520754676
0.125,-0.05,-49.1456814206919,-0.21823720346095,0.145526147016439
0.1275,-0.05,-49.1457393447597,-0.218238102207556,0.145522200148706
0.13,-0.05,-49.1457896028934,-0.218238879152814,0.145518649442424
