X,Y,Disp_x,Disp_y
0,-0.05,0,-0.000481634907423749
0.0025,-0.05,-0.000114608923040566,-0.000487180906965149
0.005,-0.05,-0.00022865633534799,-0.000496816061477725
0.0075,-0.05,-0.000342602574903276,-0.000511725312293937
0.01,-0.05,-0.000456530080515537,-0.000532135578946213
0.0125,-0.05,-0.000570457920559061,-0.000558131576341075
0.015,-0.05,-0.000684390009946034,-0.000589754250403704
0.0175,-0.05,-0.000798326505825678,-0.000627026062937083
0.02,-0.05,-0.000912266835008469,-0.000669960437653893
0.0225,-0.05,-0.00102621045676068,-0.000718565968365765
0.025,-0.05,-0.00114015699729424,-0.000772848489200802
0.0275,-0.05,-0.00125410622667131,-0.000832812165367534
0.03,-0.05,-0.0013680580110882,-0.000898460100547556
0.0325,-0.05,-0.00148201227328481,-0.000969794691910461
0.035,-0.05,-0.00159596896540529,-0.00104681784688216
0.0375,-0.05,-0.00170992805185463,-0.00112953112082846
0.04,-0.05,-0.00182388949901762,-0.00121793580765738
0.0425,-0.05,-0.00193785326941613,-0.00131203300135437
0.045,-0.05,-0.00205181931866869,-0.00141182363897674
0.0475,-0.05,-0.00216578759420198,-0.00151730853147716
0.05,-0.05,-0.00227975803504992,-0.00162848838633503
0.0525,-0.05,-0.00239373057231889,-0.00174536382455342
0.055,-0.05,-0.00250770513004768,-0.00186793539370587
0.0575,-0.05,-0.00262168162628492,-0.00199620357816673
0.06,-0.05,-0.00273565997426589,-0.00213016880730102
0.0625,-0.05,-0.00284964008360963,-0.00226983146215317
0.065,-0.05,-0.00296362186148308,-0.00241519188101411
0.0675,-0.05,-0.00307760521369725,-0.00256625036413625
0.07,-0.05,-0.00319159004571306,-0.00272300717778986
0.0725,-0.05,-0.00330557626354379,-0.00288546255780054
0.075,-0.05,-0.00341956377454795,-0.00305361671266981
0.0775,-0.05,-0.00353355248811124,-0.00322746982635364
0.08,-0.05,-0.0036475423162201,-0.00340702206075482
0.0825,-0.05,-0.00376153317393158,-0.00359227355797085
0.085,-0.05,-0.00387552497974641,-0.00378322444232946
0.0875,-0.05,-0.00398951765589304,-0.00397987482223667
0.09,-0.05,-0.00410351112853103,-0.00418222479185709
0.0925,-0.05,-0.00421750532788272,-0.00439027443264276
