X,Y,Sigma_x,Sigma_y,Tau_xy
0,-0.05,-49.1425040584864,-0.486385368978212,-0.225531364343648
0.0025,-0.05,-49.5287464098323,-0.29729447629025,0.0235418854387317
0.005,-0.05,-49.3898669962717,-0.229843318848191,0.122328279423589
0.0075,-0.05,-49.3585719378461,-0.220146591686767,0.140475271672485
0.01,-0.05,-49.3494914295941,-0.218237570896895,0.144971677983255
0.0125,-0.05,-49.3468599073348,-0.2179862405348,0.146108671378089
0.015,-0.05,-49.3463253447069,-0.21810856035639,0.146351866603581
0.0175,-0.05,-49.346521567301,-0.218284464573994,0.146377272512155
0.02,-0.05,-49.3470007605959,-0.218438137370644,0.146368659553895
0.0225,-0.05,-49.3476131860228,-0.218558972312248,0.146368432830291
0.025,-0.05,-49.3483064127833,-0.218652044421363,0.146380438742951
0.0275,-0.05,-49.3490588478966,-0.218724448982708,0.14640012808782
0.03,-0.05,-49.3498580161035,-0.21878202932717,0.146422719161668
0.0325,-0.05,-49.3506938495398,-0.218829011421615,0.14644485424004
0.035,-0.05,-49.3515568977046,-0.218868321963104,0.146464526234785
0.0375,-0.05,-49.3524380468879,-0.218901966137389,0.146480687203616
0.04,-0.05,-49.3533286298102,-0.218931323014709,0.146492903667084
0.0425,-0.05,-49.3542205837831,-0.218957350998567,0.146501116646554
0.045,-0.05,-49.3551065700829,-0.218980724936637,0.146505487989058
0.0475,-0.05,-49.3559800440337,-0.219001926687091,0.146506304987479
0.05,-0.05,-49.3568352843877,-0.219021305229942,0.146503921521006
0.0525,-0.05,-49.3576673926144,-0.219039117050835,0.146498721424585
0.055,-0.05,-49.3584722707054,-0.219055553682535,0.146491095352418
0.0575,-0.05,-49.3592465838556,-0.219070760769933,0.146481425955126
0.06,-0.05,-49.3599877126804,-0.219084851439192,0.14647007833479
0.0625,-0.05,-49.3606936984694,-0.219097915765287,0.146457393974533
0.065,-0.05,-49.3613631841981,-0.219110027517374,0.146443687050646
0.0675,-0.05,-49.3619953534581,-0.219121248977075,0.146429242438729
0.07,-0.05,-49.3625898690359,-0.219131634369521,0.146414314955463
0.0725,-0.05,-49.3631468125264,-0.219141232289414,0.146399129513983
0.075,-0.05,-49.3636666260649,-0.219150087398042,0.146383881956777
0.0775,-0.05,-49.3641500570103,-0.219158241584513,0.146368740379014
0.08,-0.05,-49.3645981061767,-0.219165734736481,0.146353846801503
0.0825,-0.05,-49.3650119800228,-0.219172605233628,0.146339319074077
0.085,-0.05,-49.3653930470397,-0.219178890237828,0.14632525291248
0.0875,-0.05,-49.3657427984317,-0.219184625844944,0.146311723998878
0.09,-0.05,-49.3660628130864,-0.219189847140647,0.146298790079529
0.0925,-0.05,-49.3663547267219,-0.21919458819334,0.146286493019179
0.095,-0.05,-49.3666202050437,-0.219198882015319,0.146274860769401
0.0975,-0.05,-49.3668609206796,-0.219202760493442,0.146263909233768
0.1,-0.05,-49.3670785336453,-0.219206254326855,0.14625364400715
0.1025,-0.05,-49.3672746750491,-0.219209392955571,0.146244061978476
0.105,-0.05,-49.367450933747,-0.219212204500586,0.146235152795341
0.1075,-0.05,-49.3676088456636,-0.219214715721349,0.146226900185805
0.11,-0.05,-49.3677498854725,-0.219216951974539,0.146219283137701
0.1125,-0.05,-49.3678754603794,-0.219218937198717,0.146212276948825
